Id,0,1,2,3,
EnableRecordsAdmin,アーカイブのアドミン有効化,Enable Archive Admin,启用位于档案室的地图,,
EnableCockpitAdmin,コックピットのアドミン有効化,Enable Cockpit Admin,启用位于驾驶舱的地图,,
AirShipReactorDuration,AirShip昇降機制限時間,AirShip Reactor Duration,飞艇地图调整航线破坏限制时间,,
EnableCustomTasks,カスタムタスクを有効化,Enable Custom Tasks,启用自定义任务,,
,,,,,
# Custom Roles Options
RoleNumAssigned,人数,Role Counts,可存在数量,,
CanSabotage,サボタージュができる,Can Sabotage,可以破坏,,
MaxShots,撃てる最大数,Max Shots,最多击杀次数,,
CanKillNeutral,第三陣営を殺せる,Can Kill Neutral,可以击杀独立阵营玩家,,
KillCooldowns,キルクール,Kill Cooldowns,击杀冷却,,
MisfireKillsTarget,ミスでも相手を道連れにする,Misfire Kills Target,走火时连带目标一同死亡,,
CanUseVents,ベントが使える,Can Use Vents,可以使用管道,,
CanEmergencyMeeting,緊急会議を開ける,Can Emergency Meeting,可以召开紧急会议,,
HasImpostorVision,インポスターの視界を持つ,Has Impostor Vision,拥有内鬼视野,,
CanDieToSheriff,シェリフに殺される,Can Killed by Sheriff,可被警长击杀,,
CanFixO2,酸素サボを直せる,Can Fix O2,可以修复氧气,,
CanFixComms,通信妨害を直せる,Can Fix Comms,可以修复通讯,,
CanFixReactor,リアクター系サボを直せる,Can Fix Reactor,可以修复反应堆,,
CanFixBlackout,停電を直せる,Can Fix Blackout,可以修复照明,,
HasTasks,タスクを持つ,Has Tasks,拥有任务,,
NumCommonTasks,通常タスク,Common Tasks,普通任务,,
NumLongTasks,ロングタスク,Long Tasks,长任务,,
NumShortTasks,ショートタスク,Short Tasks,短任务,,
,,,,,
CanMoveInVents,ベントの中を移動できる,Can Move In Vents,可在管道中移动,,
,,,,,
JesterMustFinishTasks,タスクを終了する必要がある,Must Finish Tasks,小丑需要完成任务才能获胜,,
,,,,,
EngineerCanFixSabo,ボタンでサボタージュを直せる,Can Fix Sabotage with Button,工程师可以修理破坏,,
EngineerSaboFixCount,直せる回数,Fix Count,工程师可修理次数,,
,,,,,
UnderTakerButtonCooldown,運ぶクールダウン,Move Cooldown,送葬者拖曳尸体冷却,,
UnderTakerHasDuration,運ぶ制限時間を持つ,Has Duration Time,限制送葬者拖曳尸体的时间,,
UnderTakerDuration,運ぶ制限時間,Duration Time,送葬者拖曳尸体的最大时间,,
UnderTakerDraggingSpeed,運ぶときの足の速さ,Dragging Speed,送葬者拖曳尸体时的速度,,
UnderTakerCanDumpDeadBodyInVent,ベントに死体を捨てることができる,Can Dump Body in Vent,送葬者可以将尸体抛弃在管道,,
,,,,,
BountyHunterSuccess,成功時のクールダウン,Succcess Cooldown,赏金猎人击杀成功后的奖励冷却,,
BountyHunterMiss,失敗時の追加クールダウン,Miss Cooldown,赏金猎人击杀失败后的惩罚冷却,,
BountyHunterDuration,ターゲットの制限時間,Target Duration,赏金猎人每个目标的持续时间,,
BountyHunterShowArrow,矢印を表示する,Show Arrow,赏金猎人通过箭头确认目标位置,,
BountyHunterArrowUpdateCooldown,矢印の更新時間,Arrow Update Cooldown,箭头位置更新间隔时间,,
,,,,,
MadmateKnowImpostorTaskEnd,タスクが終わるとインポスターが分かる,Know Impostor When Task End,叛徒完成所有任务后确认所有内鬼,,
MadmateCanWinWhenTaskEnd,タスクが終わると勝利できる,Can Win When Task End,叛徒完成所有任务后可以获胜,,
,,,,,
BakeryBombRate,爆発確率,Bomb Rate,烤面包爆炸致死概率,,
,,,,,
TeleporterButtonCooldown,テレポートクールダウン,Teleport Cooldown,传送师传送冷却,,
TeleporterTeleportTo,テレポート先候補,Teleport Candidate,传送师传送范围,,
TeleporterAllRandom,全員,All Player,所有人,,
OnlyCrewmate,クルーメイトだけ,Only Crewmate,船员,,
,,,,,
AltruistDuration,復活までの時間,Revive Duration,殉道者复活冷却,,
,,,,,
EvilHackerCanHasBetterAdmin,改良アドミンを使うことができる,Can Has Better Admin,拥有更好的主控台,,
,,,,,
AdversityStateKillCooldown,逆境状態の時のキルクールダウン,Adversity State Kill Cooldown,潜伏者逆境状态时的击杀冷却,,
AdversityStateCanFindMadmate,逆境状態の時にマッドメイトを探せる,Adversity State Can Find Madmate,潜伏者逆境状态时可见叛徒,,
AdversityStateCanSeeVotes,逆境状態の時に投票をした人が見える,Adversity State Can See Votes,潜伏者逆境状态时可见投票,,
,,,,,
JackalCanUseVents,ジャッカルがベントを使用できる,Jackal Can Use Vents,豺狼可使用管道,,
JackalAndSidekickHaveImpostorVision,ジャッカル陣営がインポスターの視界を持つ,Team Jackal has Impostor Vision,豺狼和跟班拥有内鬼视野,,
JackalCanCreateSidekick,ジャッカルがサイドキックを作れる,Jackal can create Sidekick,豺狼可以招募跟班,,
JackalCreateSidekickCooldown,サイドキックを作るクールダウン,,豺狼招募冷却,,
SidekickPromotesToJackal,サイドキックがジャッカルに昇格できる,Jackal can promotes to Jackal,跟班在豺狼死后晋升为豺狼,,
SidekickCanKill,サイドキックがキルできる,Sidekick can kill,跟班可击杀,,
SidekickCanUseVents,サイドキックがベントを使える,Sidekick Can Use Vents,跟班可使用管道,,
JackalPromotedFromSidekickCanCreateSidekick,昇格したサイドキックがサイドキックを作れる,Promoted Sidekick can create Sidekick,晋升为豺狼的跟班可以招募跟班,,
,,,,,
SeerMode,モード,Mode,灵媒技能形式,,
SeerLimitSoulDuration,時間経過で幽霊が消える,Limit Soul Duration,灵魂存在时间被限制,,
SeerSoulDuration,幽霊が見える時間,Soul Duration,灵魂最多存在时间,,
SeerModeBoth,死の点滅＆幽霊が見える,Show Death Flash + Souls,死亡闪光 + 可见灵魂,,
SeerModeFlash,死の点滅,Show Death Flash,死亡闪光,,
SeerModeSouls,幽霊が見える,Show Souls,可见灵魂,,
,,,,,
ArsonistCooldown,灯油クールダウン,Douse Cooldown,纵火犯涂油冷却,,
ArsonistDuration,必要時間,Douse Duration,纵火犯涂油所需时间,,
,,,,,
SnitchLeftTasksForReveal,能力発動のためのタスク数,Number of tasks for ability activation,被发现所需剩余任务数,,
SnitchIncludeTeamJackal,ジャッカル陣営も表示,Include Team Jackal,告密者可以知道豺狼阵营,,
,,,,,
StarTaskCompleteGlow,タスクを達成すると名前が光る,Name Glows When Task Completed,,,
,,,,,
# Mod Roles Text
ReamingShots,残り {0}発,Shots: {0},剩余次数：{0},,
ReamingCount,残り {0}回,Reaming: {0},剩余回数：{0},,
MakeBreadText,パン屋さんのパンが焼きあがりました。,The bread in the bakery has been baked.,面包师烤出了美味的面包！,,
BombBakeryText,パン屋どっかーーーーーん！,Bakery big Explosion!,面包师不幸在烤面包时被炸死,,
TeleporterTeleported,テレポート発生！,Teleported!,斗转星移！,,
JackalWithSidekick,サイドキックを作れる。,You can make Sidekick.,你能招募跟班,,
,,,,,
# Roles Button Text
EngineerRepairButtonText,直す,Repair,维修,,
UnderTakerDropText,置く,Drop,放下,,
UnderTakerDragText,掴む,Drag,拖曳,,
TeleportButtonText,テレポート,Teleport,传送,,
AltruistReviveText,復活,Revive,复活,,
JackalSidekickText,サイドキック,Sidekick,招募,,
IgniteText,焼殺,ignite,纵火,,
DouseText,塗る,Douse,涂油,,
